keyword,ebay_title,ebay_url,ebay_seller,ebay_seller_feedback,ebay_seller_score,ebay_price_usd,ebay_buyer_shipping_usd,ebay_image,supplier_source,supplier_name,supplier_url,supplier_price_jpy,supplier_shop,supplier_condition,match_score,fvf_category,duty_category,weight_kg,gross_revenue_usd,total_ebay_fees_usd,shipping_cost_usd,shipping_cost_jpy,purchase_price_usd,fx_loss_usd,us_import_duty_usd_buyer_pays,us_import_duty_rate,net_profit_usd,net_profit_jpy,profit_margin_pct,breakeven_purchase_jpy,fx_rate_usd_jpy,market_total_listed,market_unique_sellers,market_jp_sellers,market_us_sellers,market_price_min_usd,market_price_median_usd,market_price_p75_usd,market_price_max_usd,evidence_score,evidence_verdict,demand_signal,competition_signal,price_competitiveness,evidence_rationale
BOSS pedal DD-200 Japan,BOSS DD-200 Digital Delay Guitar Effects Pedal,https://www.ebay.com/itm/358323996823?_skw=BOSS+pedal+DD-200+Japan&hash=item536dc64897:g:ghkAAeSwyElp1Jxe&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGaiLyTN5B5uj9Dij5%2BEIjyrVGsZrhIIx9Szq13WHaj8jpJNgqUVWul4%2BWf5wnDmpshB4zJmU09pp8vmnIzmBzLUy6oGwFN9Rto%2FmvVlHhev5AmjsyuJnvatgFZpSRCsUVJFbSQw3kyxT%2FPq9vDwoJAAYbiJ6BL%2FQ%2BI3sTShiKOvCqaJloO8S2rB%2BgXJTmRFrehFkPQvDa3%2BE6M%2BRCkBNva9nJTcDy5eiEYx129cr5n54fZBygxEz%2BVqVHfRxXrAbB9zVNkczQS9bgIvJkjI%2FXa6dF7MQAhcyzMUP%2F90vn%2FEHA%3D%3D,sakurasoundlab,95.7,223,216.79,62.18,https://i.ebayimg.com/images/g/ghkAAeSwyElp1Jxe/s-l225.jpg,rakuten,BOSS / DD-200 Digital Delay ディレイ ボス DD200【YRK】【PTNB】,https://item.rakuten.co.jp/ishibashi/83-4957054514600/?variantId=83-4957054514600,33000,イシバシ楽器 WEB SHOP,unknown,100.0,musical_inst,musical_inst,3.0,278.97,46.85,44.71,7000,191.61,2.08,36.2,0.167,-9.48,-1484,-3.4,31366,156.56,118,58,41,39,120.0,288.86,395.0,841.82,61.1,moderate,medium,saturated,loses,競合セラー=58人(saturated) / 同型番=43セラー / 総出品=118件 / $ 217vs中央$ 287(loses) / 最古出品から3182日 / 上位セラー評価=604908
BOSS pedal DD-200 Japan,NEW Boss DD-200 Digital Delay Pedal Bundle Japan,https://www.ebay.com/itm/168316871606?_skw=BOSS+pedal+DD-200+Japan&hash=item273077a3b6:g:HVsAAeSwvb1p4-Ar&amdata=enc%3AAQALAAABAACCtXRWQnOEpyOqnQQ8KGYbgJq6QrfEX%2FG6n6gr4wdGLjscZgLr9oxCFTgG0t4nw9TA1MVzmJAPRSILOSPEP%2B49iAhLourqOAv3niXpmJSiTG%2BmXaQqDsR%2FYCd3gOhtimprihvt3qQE0wrPNydIJNI20jJXiqhL2VEaS5n3uRhVtYIgYxDJ4OZ5uzV%2FjBJgoCHg8mIOW90zqxEYWPH6bpMEUwJOWi6owYd29RMcPoSpc3qxuYD9RU%2F2qdVYGb7a%2B8%2FSfOf1baXatEUPP9WGZLShJjyEZ5Ie2N8V%2B%2FOl2mKVfER8WIMKhRxAuuAe3rLyqtU77w2Wa8cvOpaJRuPRrAo%3D,treasures_japan,100.0,127,841.82,29.0,https://i.ebayimg.com/images/g/HVsAAeSwvb1p4-Ar/s-l225.jpg,rakuten,BOSS DD-200 DIGITAL DELAY デジタルディレイ ギターエフェクター,https://item.rakuten.co.jp/chuya-online/161234/?variantId=161234,33000,chuya-online チューヤオンライン,unknown,100.0,default,default,1.0,870.82,151.49,19.29,3020,191.61,6.46,126.27,0.15,498.78,78089,57.28,118896,156.56,118,58,41,39,120.0,288.86,395.0,841.82,61.1,moderate,medium,saturated,loses,競合セラー=58人(saturated) / 同型番=43セラー / 総出品=118件 / $ 842vs中央$ 287(loses) / 最古出品から3182日 / 上位セラー評価=604908
Ibanez TS808 Tube Screamer,Ibanez TUBE SCREAMER Overdrive Pro TS808 Guiter Effects Pedal BrandNew,https://www.ebay.com/itm/125639493127?_skw=Ibanez+TS808+Tube+Screamer&hash=item1d40b28607:g:uOcAAOSw0hJmkLdw,retro.music-japanshop,100.0,3084,139.99,18.0,https://i.ebayimg.com/images/g/uOcAAOSw0hJmkLdw/s-l225.jpg,rakuten,翌日配達 【WEB限定在庫処分セール】 TS808 TUBE SCREAMER Overdrive Pro Ibanez (新品),https://item.rakuten.co.jp/ikebe/763195/?variantId=763195,16300,イケベ楽器楽天ショップ,new,88.4,default,default,1.0,157.99,27.81,19.29,3020,94.65,1.17,21.0,0.15,11.88,1860,7.52,18345,156.56,176,58,37,43,49.95,164.37,179.99,340.0,71.7,moderate,medium,saturated,wins,競合セラー=58人(saturated) / 同型番=39セラー / 総出品=176件 / $ 140vs中央$ 156(wins) / 最古出品から3118日 / 上位セラー評価=465189
Ibanez TS808 Tube Screamer,Ibanez 45th Anniversary TS808 Tube Screamer Effects Pedal Sapphire Blue NEW,https://www.ebay.com/itm/356409440095?_skw=Ibanez+TS808+Tube+Screamer&hash=item52fba8775f:g:8C8AAOSwoelnasOe,soundbluesy-japan,100.0,25,340.0,0.0,https://i.ebayimg.com/images/g/8C8AAOSwoelnasOe/s-l225.jpg,rakuten,翌日配達 Ibanez 【WEB限定在庫処分セール】 TS808 TUBE SCREAMER Overdrive Pro,https://item.rakuten.co.jp/ikeshibu/763195/?variantId=763195,16300,イケベ楽器 イケシブ,unknown,87.1,default,default,1.0,340.0,59.39,19.29,3020,94.65,2.52,51.0,0.15,160.96,25200,47.34,44019,156.56,176,58,37,43,49.95,164.37,179.99,340.0,61.1,moderate,medium,saturated,loses,競合セラー=58人(saturated) / 同型番=39セラー / 総出品=176件 / $ 340vs中央$ 156(loses) / 最古出品から3118日 / 上位セラー評価=465189
Ibanez TS808 Tube Screamer,Ibanez TS808 Original Vintage Tube Screamer Pedal - Reissue,https://www.ebay.com/itm/134445055899?_skw=Ibanez+TS808+Tube+Screamer&hash=item1f4d8cbf9b:g:1a4AAOSwnfhjckOn&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZEqt86gMey979YWoPdAuTpL8QX1Ip9HqlBpTDShloawRwFz9meimQs%2FO%2B70ot%2BEGnsYyS2vvzoggGBiW0uriFNiDl8TD0gKiA3nMukHj%2ByogWInITTNS0EL%2Fm%2BT6yTA84EzzzX5OlbS%2FZAVgS1Rv3u4qR4PlXHUKdP4IGX6OW4ANxu9Fnqp%2BIKBuq1R0%2FF2L18X6PoWDqEvL%2FvM8muvzihPudSkcuYsZmtvZeQeAvyasjBeTyU2MXP80HzuKbJvOwX5UXPSne4ky46IpxWxNicmJrbk7%2Fj8RiX0aXZXNOTuA%3D%3D,good-job-from-japan,100.0,1036,160.0,0.0,https://i.ebayimg.com/images/g/1a4AAOSwnfhjckOn/s-l225.jpg,rakuten,Ibanez TS808 Tube Screamer Overdriveモデル チューブスクリーマー風 エフェクター自作用基板 メール便なら送料無料,https://item.rakuten.co.jp/alzey/04000026/?variantId=04000026,2090,Alzey部品,unknown,90.0,default,default,1.0,160.0,28.16,19.29,3020,12.13,1.18,24.0,0.15,96.04,15037,60.03,18629,156.56,176,58,37,43,49.95,164.37,179.99,340.0,73.6,moderate,medium,saturated,parity,競合セラー=58人(saturated) / 同型番=39セラー / 総出品=176件 / $ 160vs中央$ 156(parity) / 最古出品から3118日 / 上位セラー評価=465189
Japanese chef knife Tojiro Shun,FUJITORA by TOJIRO FU-502 Japanese Chef Knife NAKIRI 165mm DP VG10,https://www.ebay.com/itm/389651472514?_skw=Japanese+chef+knife+Tojiro+Shun&hash=item5ab909a082:g:edsAAeSwEdBpmaTP&amdata=enc%3AAQALAAABAACCtXRWQnOEpyOqnQQ8KGYrLwgJYlkDAfKpy4oNRP%2F2Rkic0kV9fP4w4%2FC1tjl%2FA31sivODyV6zKkjiQxLnfHZLJUTsbBR2XdmWE0W2G1oqPRlHZKt2ZVtwXwBlouVElaOQh5QeXQQQzqFAsS6dZrHMGY8fImcBERV23K3ecsD62PoSAMypFlMWueIk%2FyQjBSjb3gsrACjEHM%2FBt9WwXAuX3CTSbSzp35R96S5%2FozuyTBnj4uSZRNqnapfZJe6v5kMND2BFeW82mNOjUIT17LTPoPsOeLbG8m1at0lcPCJWLoJ0jdZB%2BIIyjP2eXLbQC%2FuIwRgbdN9D%2Ffn0y%2B27Jrk%3D,mutsukitrading,99.7,386,78.21,15.0,https://i.ebayimg.com/images/g/edsAAeSwEdBpmaTP/s-l225.jpg,yahoo_shopping,FU-502 藤次郎 藤寅作  薄刃 165mm DPコバルト合金鋼割込シリーズ（口金付）   FU502 F-502 薄刃包丁 Tojiro,https://store.shopping.yahoo.co.jp/kunikichisyouten/4020-015022.html?sc_i=shopping-pc-web-result-item-rsltlst-title,6883,kunikichisyouten,unknown,80.2,default,default,1.0,93.21,16.57,19.29,3020,39.97,0.69,11.73,0.15,13.5,2114,14.48,9207,156.56,122,45,55,23,38.7,122.51,182.0,999.0,65.7,moderate,medium,healthy,loses,競合セラー=45人(healthy) / 同型番=6セラー / 総出品=122件 / $ 78vs中央$ 120(loses) / 最古出品から3069日 / 上位セラー評価=28606
Japanese chef knife Tojiro Shun,TOJIRO Japanese Chef's Kitchen Knife FUJITORA 210mm Made In Japan FU-808 New,https://www.ebay.com/itm/296940629838?_skw=Japanese+chef+knife+Tojiro+Shun&hash=item45230a6f4e:g:DWcAAOSw1-RnhB-f&amdata=enc%3AAQALAAABAACCtXRWQnOEpyOqnQQ8KGbJ%2FfuaJ0Ebte15uNormmKLJkBL3KPMbs8jAd8fx1pQXa0wlyqJr3zkcNlWYU12%2FssIKf2sHtsAJEL2Vihuhi059DlEA3ADQztuQ2MuUigetHTccpueAsoNOzEuGPEJ1oMc%2FQIdG6bPkp0suLXo%2FPudkUZ5WnlSfdekgj21MBMeGSX6r--vpmkQipHldFGhSwJlhU5HOTNhODwUrNcxMZ9VNfz9dAyhEwS23VPpevakeVlYIegzxBYFt%2BAfqdpCwztTnxqbs9%2B5oURO0uOQjFubyDSQX2%2BGNu86OOaQapReK6Kz4kOVjIEmC7Duzb5pn3Y%3D,fabec-japan,100.0,375,107.8,19.8,https://i.ebayimg.com/images/g/DWcAAOSw1-RnhB-f/s-l225.jpg,rakuten,藤次郎｜TOJIRO 藤寅作 牛刀 210mm FU-808,https://item.rakuten.co.jp/biccamera/4960375408084/?variantId=4960375408084,8650,楽天ビック(ビックカメラ×楽天),unknown,82.0,default,default,1.0,127.6,22.54,19.29,3020,50.22,0.94,16.17,0.15,31.41,4918,24.62,14058,156.56,122,45,55,23,38.7,122.51,182.0,999.0,76.2,strong,medium,healthy,wins,競合セラー=45人(healthy) / 同型番=7セラー / 総出品=122件 / $ 108vs中央$ 120(wins) / 最古出品から3069日 / 上位セラー評価=28606
Onitsuka Tiger Mexico 66 Japan exclusive,MEXICO 66 KIDS Onitsuka Tiger Sneakers White Blue 1184A074,https://www.ebay.com/itm/366372668225?_skw=Onitsuka+Tiger+Mexico+66+Japan+exclusive&hash=item554d834341:g:zAoAAeSwG5Vp73DH,fujimart_nihongoods,0.0,0,68.0,9.99,https://i.ebayimg.com/images/g/zAoAAeSwG5Vp73DH/s-l225.jpg,rakuten,オニツカタイガー スニーカー Onitsuka Tiger MEXICO 66 TS KIDS メキシコ66 ベージュ グリーン BEIGE/GREEN # 1184A074.250 シューズ,https://item.rakuten.co.jp/ii-korea/1-ot-sn24-1184a074250/,21590,イイコレ!,unknown,95.8,sneakers_high,sneakers_textile_rubber,1.5,77.99,9.56,31.94,5000,125.36,0.61,20.4,0.3,-92.68,-14510,-118.84,5628,156.56,8013,45,16,3,44.51,66.4,99.99,394.9,63.3,moderate,high,healthy,parity,競合セラー=45人(healthy) / 同型番=0セラー / 総出品=8013件 / $ 68vs中央$ 66(parity) / 最古出品から1310日 / 上位セラー評価=12779
Onitsuka Tiger Mexico 66 Japan exclusive,Onitsuka Tiger MEXICO 66 Sneakers Unisex 1183C102 16Colors Unisex Size,https://www.ebay.com/itm/314585252676?_skw=Onitsuka+Tiger+Mexico+66+Japan+exclusive&hash=item493ebe0344:g:2Z0AAeSwedFphyLV&amdata=enc%3AAQALAAABAACCtXRWQnOEpyOqnQQ8KGaFNkk3EiKxtYLOyFQ96osVEItwBFAn3Zw4HManI9q2nv2c6g8HKEUlIXCsWuB1KUuItyfelnE9U%2BfqOXVq5nuIFHqV5jLiXWMmzNva7O%2BnuN9XOX%2BmlrMZDkz6RMgUbgV2Grcew%2FGkKdSvThWMWZUybXMVQPOZpgpbpTNuxSr0Z0SuGpEU9d3AfZh8SEXnvPA7rLE1IgwosGR%2FO6%2Fbk4WA5RgeHxN%2B32iKlULPOpwQyVrjIkKKNbwv5ZeW5N7GMK%2F1KxmVH%2F4V4CZXpRpQajSYf88Lo7XFn5QyVm2Hr9gxI2%2F8mva09OSeLyiQfO3jUy0%3D,yumara13,99.8,12779,159.0,30.0,https://i.ebayimg.com/images/g/2Z0AAeSwedFphyLV/s-l225.jpg,rakuten,オニツカタイガー スニーカー Onitsuka Tiger メンズ レディース MEXICO 66 メキシコ 66 BLACK ブラック 1183C102.002 シューズ,https://item.rakuten.co.jp/upsuke/sn-ot23-83c102002/,33290,upsuke,unknown,99.1,sneakers_high,sneakers_textile_rubber,1.5,189.0,22.21,31.94,5000,193.3,1.49,47.7,0.3,-63.13,-9884,-33.4,22417,156.56,8013,45,16,3,44.51,66.4,99.99,394.9,70.0,moderate,high,healthy,loses,競合セラー=45人(healthy) / 同型番=25セラー / 総出品=8013件 / $ 159vs中央$ 66(loses) / 最古出品から1310日 / 上位セラー評価=12779
Onitsuka Tiger Mexico 66 Japan exclusive,Onitsuka Tiger MEXICO 66 SLIP-ON 1183A360 6 Colors Unisex Adult Shoes Japan,https://www.ebay.com/itm/318130225101?_skw=Onitsuka+Tiger+Mexico+66+Japan+exclusive&hash=item4a1209ffcd:g:FNAAAeSwl5xp5v7t&amdata=enc%3AAQALAAABEACCtXRWQnOEpyOqnQQ8KGaLAwkiP%2FMY3KqX8RWM%2BZkzR96hd%2BKXDywD2IzwSaQB3DJ0K7oBILZ5dOBAPCgSzEquvbElsWx7zENPJDUFUxwZWukhoqOl1zpttNc5fRsxrII8vZyeTtshEQ7K08BTaQqNXWH4PBm%2Bmw6l0lM9fLdLWEDiF3P9OxtkfQW6A4LjJUjYhCHpPsd%2B613Ap7TEyHm3kIdbUqYT%2Bg6FUldEK3X83IN54TYrqsdGkYBoSub08nam%2F1yK%2BXTazdIJrhOOChwEiplzkrmY61dXTTlUMJGjAZox2OXaHBUTJJA7BIqFNQz2AlUOo3pr0bbnQWTJJvW58n%2FUkxYs%2Fmw2HcV1qxtp,you_and_minami,99.4,613,137.89,30.0,https://i.ebayimg.com/images/g/FNAAAeSwl5xp5v7t/s-l225.jpg,yahoo_shopping,スニーカー Onitsuka Tiger MEXICO 66 SLIP-ON / オニツカタイガー メキシコ 66 スリッポン / 1183A360-,https://store.shopping.yahoo.co.jp/zozo/99382264.html?sc_i=shopping-pc-web-result-item-rsltlst-title,11215,zozo,unknown,100.0,sneakers_high,sneakers_textile_rubber,1.5,167.89,20.13,31.94,5000,65.12,1.32,41.37,0.3,46.19,7232,27.51,19169,156.56,8013,45,16,3,44.51,66.4,99.99,394.9,57.5,weak,high,healthy,loses,競合セラー=45人(healthy) / 同型番=2セラー / 総出品=8013件 / $ 138vs中央$ 66(loses) / 最古出品から1310日 / 上位セラー評価=12779
Onitsuka Tiger Mexico 66 Japan exclusive,Onitsuka Tiger MEXICO 66 PARATY 1183C233 2 Colors Unisex Adult Shoes Japan,https://www.ebay.com/itm/318128535157?_skw=Onitsuka+Tiger+Mexico+66+Japan+exclusive&hash=item4a11f03675:g:ljkAAeSwsL5p5v~a&amdata=enc%3AAQALAAABEACCtXRWQnOEpyOqnQQ8KGaYSaLy%2B7VUFcLZdidxai9gEhoy1n48ai9k%2Fv5OseXZfjukMnFz434rMcCgnAWB0mTfW0z16ieg5zFKqvwY3Pa0gd2hl55dmAg0L5%2FO%2FMk0FpPQ77OsuH6ix0%2Bp%2FoPpNWhyReyPioHrjZq%2F7qiBePjeHXOHZdp%2BhqFoVjIUcUWYzWrlAkks24vgKjKALjEunGpzz0OQCiBB%2B3mOpwg2TTa7tsFsbPHVE5CFPsnVdWpxhElPvI%2BDk3GdtaaA3rEUNsH%2FCvtJgY2Q0%2Bb0eR4xS7hvo5DNgaDZx6TfmZuWoZbXzdM%2F8VNsr5xeoGlehilXuSu2Gw2ClkUz3PfhqjdcwbA1,you_and_minami,99.4,613,136.9,30.0,https://i.ebayimg.com/images/g/ljkAAeSwsL5p5v~a/s-l225.jpg,rakuten,"メキシコ オニツカタイガー ""NATURAL NAVY"" スニーカー メンズ ONITSUKA TIGER MEXICO 66 PARATY 1183C233 250 /",https://item.rakuten.co.jp/jordan23/29_383942/,83800,スニケス,unknown,99.2,sneakers_high,sneakers_textile_rubber,1.5,166.9,20.01,31.94,5000,486.59,1.31,41.07,0.3,-376.15,-58890,-225.37,19020,156.56,8013,45,16,3,44.51,66.4,99.99,394.9,50.8,weak,high,healthy,loses,競合セラー=45人(healthy) / 同型番=0セラー / 総出品=8013件 / $ 137vs中央$ 66(loses) / 最古出品から1310日 / 上位セラー評価=12779
Onitsuka Tiger Mexico 66 Japan exclusive,Onitsuka Tiger MEXICO 66 Kill Bill 1183C102 751 YELLOW BLACK,https://www.ebay.com/itm/355315032752?_skw=Onitsuka+Tiger+Mexico+66+Japan+exclusive&hash=item52ba6d22b0:g:DQ4AAOSwkoxlh7KT,rioxxrinaxjapan,99.8,9495,150.0,30.0,https://i.ebayimg.com/images/g/DQ4AAOSwkoxlh7KT/s-l225.jpg,rakuten,オニツカタイガー スニーカー Onitsuka Tiger メンズ レディース MEXICO 66 メキシコ 66 BLACK ブラック 1183C102.002 シューズ,https://item.rakuten.co.jp/upsuke/sn-ot23-83c102002/,33290,upsuke,unknown,100.0,sneakers_high,sneakers_textile_rubber,1.5,180.0,21.15,31.94,5000,193.3,1.42,45.0,0.3,-71.0,-11116,-39.45,21061,156.56,8013,45,16,3,44.51,66.4,99.99,394.9,70.0,moderate,high,healthy,loses,競合セラー=45人(healthy) / 同型番=25セラー / 総出品=8013件 / $ 150vs中央$ 66(loses) / 最古出品から1310日 / 上位セラー評価=12779
